% Students' Academic Performance Dataset (xAPI-Edu-Data)
% Data Set Characteristics: Multivariate
% Number of Instances: 480
% Area: E-learning, Education, Predictive models, Educational Data Mining
% Attribute Characteristics: Integer/Categorical 
% Number of Attributes: 16
% Date: 2016-11-8
% Associated Tasks: Classification
% Missing Values? No
% File formats: xAPI-Edu-Data.csv
% Source:
% Elaf Abu Amrieh, Thair Hamtini, and Ibrahim Aljarah, The University of Jordan, Amman, Jordan, http://www.Ibrahimaljarah.com
% www.ju.edu.jo
% Dataset Information:
% This is an educational data set which is collected from learning management system (LMS) called Kalboard 360. Kalboard 360 is a multi-agent LMS, which has been designed to facilitate learning through the use of leading-edge technology. Such system provides users with a synchronous access to educational resources from any device with Internet connection. 
% The data is collected using a learner activity tracker tool, which called experience API (xAPI). The xAPI is a component of the training and learning architecture (TLA) that enables to monitor learning progress and learners actions like reading an article or watching a training video. The experience API helps the learning activity providers to determine the learner, activity and objects that describe a learning experience.
% The dataset consists of 480 student records and 16 features. The features are classified into three major categories: (1) Demographic features such as gender and nationality. (2) Academic background features such as educational stage, grade Level and section. (3) Behavioral features such as raised hand on class, opening resources, answering survey by parents, and school satisfaction.
% The dataset consists of 305 males and 175 females. The students come from different origins such as 179 students are from Kuwait, 172 students are from Jordan, 28 students from Palestine, 22 students are from Iraq, 17 students from Lebanon, 12 students from Tunis, 11 students from Saudi Arabia, 9 students from Egypt, 7 students from Syria, 6 students from USA, Iran and Libya, 4 students from Morocco and one student from Venezuela.
% The dataset is collected through two educational semesters: 245 student records are collected during the first semester and 235 student records are collected during the second semester. 
% The data set includes also the school attendance feature such as the students are classified into two categories based on their absence days: 191 students exceed 7 absence days and 289 students their absence days under 7.
% This dataset includes also a new category of features; this feature is parent parturition in the educational process. Parent participation feature have two sub features: Parent Answering Survey and Parent School Satisfaction. There are 270 of the parents answered survey and 210 are not, 292 of the parents are satisfied from the school and 188 are not. 
% (See the related papers for more details).
% Attributes
% 1 Gender - student's gender (nominal: 'Male' or 'Female) 
% 2 Nationality- student's nationality (nominal: Kuwait, Lebanon, Egypt, SaudiArabia, USA, Jordan, 
% Venezuela, Iran, Tunis, Morocco, Syria, Palestine, Iraq, Lybia)
% 3 Place of birth- student's Place of birth (nominal: Kuwait, Lebanon, Egypt, SaudiArabia, USA, Jordan, 
% Venezuela, Iran, Tunis, Morocco, Syria, Palestine, Iraq, Lybia)
% 4 Educational Stages- educational level student belongs (nominal: lowerlevel,MiddleSchool,HighSchool) 
% 5 Grade Levels- grade student belongs (nominal: G-01, G-02, G-03, G-04, G-05, G-06, G-07, G-08, G-09, G-10, G-11, G-12 ) 
% 6 Section ID- classroom student belongs (nominal:A,B,C)
% 7 Topic- course topic (nominal: English, Spanish, French, Arabic, IT, Math, Chemistry, Biology, Science, History, Quran, Geology)
% 8 Semester- school year semester (nominal: First, Second)
% 9 Parent responsible for student (nominal:mom,father)
% 10 Raised hand- how many times the student raises his/her hand on classroom (numeric:0-100)
% 11- Visited resources- how many times the student visits a course content(numeric:0-100)
% 12 Viewing announcements-how many times the student checks the new announcements(numeric:0-100)
% 13 Discussion groups- how many times the student participate on discussion groups (numeric:0-100)
% 14 Parent Answering Survey- parent answered the surveys which are provided from school or not 
% (nominal:Yes,No)
% 15 Parent School Satisfaction- the Degree of parent satisfaction from school(nominal:Yes,No)
% 16 Student Absence Days-the number of absence days for each student (nominal: above-7, under-7)
% The students are classified into three numerical intervals based on their total grade/mark:
% Low-Level: interval includes values from 0 to 69, 
% Middle-Level: interval includes values from 70 to 89, 
% High-Level: interval includes values from 90-100.
% Relevant Papers:
%
% Amrieh, E. A., Hamtini, T.,  Aljarah, I. (2016). Mining Educational Data to Predict Students academic Performance using Ensemble Methods. International Journal of Database Theory and Application, 9(8), 119-136.
% Amrieh, E. A., Hamtini, T.,  Aljarah, I. (2015, November). Preprocessing and analyzing educational data set using X-API for improving student's performance. In Applied Electrical Engineering and Computing Technologies (AEECT), 2015 IEEE Jordan Conference on (pp. 1-5). IEEE.
%
% Citation Request:
% Please include these citations if you plan to use this dataset:
%
% Amrieh, E. A., Hamtini, T.,  Aljarah, I. (2016). Mining Educational Data to Predict Students academic Performance using Ensemble Methods. International Journal of Database Theory and Application, 9(8), 119-136.
% Amrieh, E. A., Hamtini, T.,  Aljarah, I. (2015, November). Preprocessing and analyzing educational data set using X-API for improving student's performance. In Applied Electrical Engineering and Computing Technologies (AEECT), 2015 IEEE Jordan Conference on (pp. 1-5). IEEE.
%
@RELATION Students-Academic-Performance-Dataset

@ATTRIBUTE gender STRING
@ATTRIBUTE NationalITy STRING
@ATTRIBUTE PlaceofBirth STRING
@ATTRIBUTE StageID STRING
@ATTRIBUTE GradeID STRING
@ATTRIBUTE SectionID STRING
@ATTRIBUTE Topic STRING
@ATTRIBUTE Semester STRING
@ATTRIBUTE Relation STRING
@ATTRIBUTE raisedhands INTEGER
@ATTRIBUTE VisITedResources INTEGER
@ATTRIBUTE AnnouncementsView INTEGER
@ATTRIBUTE Discussion INTEGER
@ATTRIBUTE ParentAnsweringSurvey STRING
@ATTRIBUTE ParentschoolSatisfaction STRING
@ATTRIBUTE StudentAbsenceDays STRING
@ATTRIBUTE Class STRING

@DATA
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,15,16,2,20,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,20,20,3,25,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,10,7,0,30,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,30,25,5,35,No,Bad,Above-7,L
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,40,50,12,50,No,Bad,Above-7,M
F,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,42,30,13,70,Yes,Bad,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,35,12,0,17,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,50,10,15,22,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,12,21,16,50,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,70,80,25,70,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,50,88,30,80,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,B,Math,F,Father,19,6,19,12,Yes,Good,Under-7,M
M,KW,KuwaIT,lowerlevel,G-04,A,IT,F,Father,5,1,0,11,No,Bad,Above-7,L
M,lebanon,lebanon,MiddleSchool,G-08,A,Math,F,Father,20,14,12,19,No,Bad,Above-7,L
F,KW,KuwaIT,MiddleSchool,G-08,A,Math,F,Mum,62,70,44,60,No,Bad,Above-7,H
F,KW,KuwaIT,MiddleSchool,G-06,A,IT,F,Father,30,40,22,66,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,36,30,20,80,No,Bad,Above-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Math,F,Father,55,13,35,90,No,Bad,Above-7,M
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Mum,69,15,36,96,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Mum,70,50,40,99,Yes,Good,Under-7,H
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,60,60,33,90,No,Bad,Above-7,M
F,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,10,12,4,80,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,15,21,2,90,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,2,0,2,50,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,0,2,3,70,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,8,7,30,40,Yes,Good,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,B,IT,F,Father,19,19,25,40,Yes,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,25,15,12,33,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-08,A,Science,F,Father,75,85,52,43,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,30,90,33,35,No,Bad,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-08,A,Arabic,F,Father,35,80,50,70,Yes,Good,Under-7,H
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,4,5,40,16,Yes,Good,Above-7,L
F,KW,KuwaIT,lowerlevel,G-07,A,IT,F,Father,2,19,10,50,Yes,Good,Above-7,L
M,KW,KuwaIT,lowerlevel,G-05,A,English,F,Father,8,22,9,40,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,F,Father,12,11,8,40,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,English,F,Father,10,12,17,30,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,B,Science,F,Mum,8,6,4,22,Yes,Good,Above-7,L
F,Egypt,Egypt,MiddleSchool,G-07,A,IT,F,Father,45,54,26,90,Yes,Good,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-06,A,IT,F,Father,0,0,0,4,No,Bad,Above-7,L
F,SaudiArabia,SaudiArabia,MiddleSchool,G-07,B,Science,F,Father,50,90,37,70,Yes,Good,Under-7,M
F,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,14,13,3,70,No,Bad,Above-7,L
M,KW,KuwaIT,MiddleSchool,G-07,A,IT,F,Father,19,20,16,50,No,Good,Under-7,M
M,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,10,12,7,33,Yes,Good,Above-7,L
F,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,30,35,28,90,Yes,Good,Under-7,M
F,KW,KuwaIT,HighSchool,G-09,A,IT,F,Father,33,33,30,90,No,Bad,Under-7,M
M,KW,KuwaIT,MiddleSchool,G-07,A,Quran,F,Father,20,12,15,70,No,Good,Above-7,L
M,KW,KuwaIT,lowerlevel,G-05,A,English,F,Father,7,10,1,30,No,Bad,Above-7,L
